952$p,100$a,245$a,440$v,260$b,260$c,300$a,082$a,041$h,003,040$c),650$a,365$b,365$c,923$d,923$n,942$c,952$c,952$8,952$e,952$1
LG032548,Punimia/Khandelwal,Project Planning and Control  with PERT & CPM,,Laxmi,2004,250,624,eng,LGGRANT,LGGRANT,Civil Engineering,75,INR,22/12/2004,2183,BK,General Section,NFIC,APS,
LG032549,"Mathur , R.Mohan",Thyristor bsed Facts controllers for Electrical transmission Systems,,Wiley,2002,425,624,eng,LGGRANT,LGGRANT,Civil Engineering,4597,INR,28/03/2005,568,BK,General Section,NFIC,UBD,
LG032550,"Mehra , H.",Limit State Design of Reinforced Concrete Structures,,Khanna Publication Brothers,2003,644,624,eng,LGGRANT,LGGRANT,Civil Engineering,195,INR,28/03/2005,568,BK,General Section,NFIC,UBD,
LG032554,Ranjan/ Rao,Basic and Applied Science Soil Mechanics,,New age Publication,2004,762,624,eng,LGGRANT,LGGRANT,Civil Engineering,275,INR,24/01/2005,2274,BK,General Section,NFIC,APS,
LG032555,Krishna Raju N.,Reinforced Concrete Design : ISO 456-2000,,New age Publication,2003,609,624,eng,LGGRANT,LGGRANT,Civil Engineering,250,INR,24/01/2005,2274,BK,General Section,NFIC,APS,
LG032556,Ramamurtham,Prestressed Concrete,,Dhanpat Rai,2005,266,624,eng,LGGRANT,LGGRANT,Civil Engineering,160,INR,24/01/2005,2274,BK,General Section,NFIC,APS,
LG032557,Satish chandra,Waste Materials used in Concrete Manufacturing,,Standard Pub,2002,651,624,eng,LGGRANT,LGGRANT,Civil Engineering,550,INR,18/03/2005,2555,BK,General Section,NFIC,APS,
LG032558,"Arora , K.C.",Soil Mechanics and Foundation Engineering,,Standard Pub,2005,886,624,eng,LGGRANT,LGGRANT,Civil Engineering,275,INR,18/03/2005,2555,BK,General Section,NFIC,APS,
LG032559,"Singh , Gurucharan",Estimating Costing and Valuation,,Standard Pub,2002,701,624,eng,LGGRANT,LGGRANT,Civil Engineering,150,INR,18/03/2005,2555,BK,General Section,NFIC,APS,
LG032560,"Kukreja , C.B.",Experimental Methods in Structural Mechanics,,Standard Pub,2005,142,624,eng,LGGRANT,LGGRANT,Civil Engineering,30,INR,18/03/2005,2555,BK,General Section,NFIC,APS,
LG032561,"Raina , V.K.",Concrete Bridges,,Tata Mcgraw Hill,2004,491,624,eng,LGGRANT,LGGRANT,Civil Engineering,575,INR,12/04/2005,2623,BK,General Section,NFIC,APS,
LG032562,Pandit/ Gupta,Structural Analysis,,Tata Mcgraw Hill,1991,662,624,eng,LGGRANT,LGGRANT,Civil Engineering,225,INR,12/04/2005,2623,BK,General Section,NFIC,APS,
LG032563,"Victor, Johnson D.",Essentials of Bridge Engineering,,Oxford,1994,438,624,eng,LGGRANT,LGGRANT,Civil Engineering,220,INR,12/04/2005,2623,BK,General Section,NFIC,APS,
LG032564,Ramamurtham,Theory of Structures,,Dhanpat Rai,2003,1380,624,eng,LGGRANT,LGGRANT,Civil Engineering,310,INR,12/04/2005,2623,BK,General Section,NFIC,APS,
LG032565,Ramamurtham,Design of Steel Structures,,Dhanpat Rai,2003,898,624,eng,LGGRANT,LGGRANT,Civil Engineering,250,INR,12/04/2005,2623,BK,General Section,NFIC,APS,
LG032566,"Karve, S.R.& Shah V.L.",Illustrated Design of Reinforced Concrete Buildings,,Standard Pub,2003,319,624,eng,LGGRANT,LGGRANT,Civil Engineering,240,INR,12/04/2005,2623,BK,General Section,NFIC,APS,
LG032567,"Reddy , C.S.",Basic Structural Analysis,,Tata Mcgraw Hill,2004,779,624,eng,LGGRANT,LGGRANT,Civil Engineering,245,INR,12/04/2005,2623,BK,General Section,NFIC,APS,
LG032568,"Clough, Ray W.",Dynamics of Structures,,Mcgraw Hill,1993,738,624,eng,LGGRANT,LGGRANT,Civil Engineering,827.5,INR,12/04/2005,2623,BK,General Section,NFIC,APS,
LG032569,"Norris, Charles Heed",Elements of Structural Analysis,,Tata Mcgraw Hill,2003,829,624,eng,LGGRANT,LGGRANT,Civil Engineering,325,INR,12/04/2005,2623,BK,General Section,NFIC,APS,
LG032570,"Nilson , Arthur H.",Design of Concrete Structures,,Tata Mcgraw Hill,2005,779,624,eng,LGGRANT,LGGRANT,Civil Engineering,525,INR,12/04/2005,2623,BK,General Section,NFIC,APS,
LG032571,"Gupta , S.P.",Theory of Structures,,Tata Mcgraw Hill,1999,574,624,eng,LGGRANT,LGGRANT,Civil Engineering,220,INR,12/04/2005,2623,BK,General Section,NFIC,APS,
LG032572,"Rajagopalan , N.",Prestressed Concrete,,Narosa Delhi,2002,482,624,eng,LGGRANT,LGGRANT,Civil Engineering,350,INR,12/04/2005,2623,BK,General Section,NFIC,APS,
LG032573,Beer / Jhonson,Vector Mechanics for Engineers : Statics and Dynamics,,Tata Mcgraw Hill,2005,1522,624,eng,LGGRANT,LGGRANT,Civil Engineering,395,INR,12/04/2005,2623,BK,General Section,NFIC,APS,
LG032574,"Alan, Macnab",Earth Retention Systems Hand Book,,Mcgraw Hill,2000,531,624,eng,LGGRANT,LGGRANT,Civil Engineering,4146.7,INR,30/04/2005,2466,BK,General Section,NFIC,APS,
LG032575,"Mulargia, Franscero",Earthquake Science and Seismic Risk Reduction,,Kumar,2003,338,624,eng,LGGRANT,LGGRANT,Civil Engineering,3897.6,INR,30/04/2005,2466,BK,General Section,NFIC,APS,
LG032576,Peurifoy,Construction Planning Equipment and methods,,Tata Mcgraw Hill,2004,667,624,eng,LGGRANT,LGGRANT,Civil Engineering,8760,INR,30/04/2005,2644,BK,General Section,NFIC,APS,
LG032577,"Mazzolane, F.M.",Moment Resitant Connections of steel Frames in Seismic Areas,,E& F.N. Sponsor,2000,644,624,eng,LGGRANT,LGGRANT,Civil Engineering,13585,INR,30/04/2005,2644,BK,General Section,NFIC,APS,
LG032578,Neville A.M.,Properties of Concrete,,Pearson Edu,2004,844,624,eng,LGGRANT,LGGRANT,Civil Engineering,275,INR,30/04/2005,2644,BK,General Section,NFIC,APS,
LG032579,Neville A.M.,Concrete Technology,,Pearson Edu,2004,438,624,eng,LGGRANT,LGGRANT,Civil Engineering,299,INR,30/04/2005,2645,BK,General Section,NFIC,APS,
LG032580,"Sadiku , M.N.O.",Elements of Electromagnetics,,Oxford,2003,765,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,250,INR,17/05/2005,2645,BK,General Section,NFIC,APS,
LG032581,"Raju , GSN",Electromagnetic Field Theory and Transmission Lines,,Pearson Edu,2005,584,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,250,INR,17/05/2005,2645,BK,General Section,NFIC,APS,
LG032582,"Raju , GSN",Electromagnetic Field Theory and Transmission Lines,,Pearson Edu,2005,584,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,325,INR,17/05/2005,2645,BK,General Section,NFIC,APS,
LG032583,"Kraus , John D.",Antennas,,Tata Mcgraw Hill,2005,938,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,325,INR,17/05/2005,2645,BK,General Section,NFIC,APS,
LG032584,"Kraus , John D.",Antennas,,Tata Mcgraw Hill,2005,935,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,250,INR,17/05/2005,2645,BK,General Section,NFIC,APS,
LG032585,"Hayt , William H.",Engineering Electromagnetics,,Tata Mcgraw Hill,2006,582,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,250,INR,17/05/2005,2645,BK,General Section,NFIC,APS,
LG032586,"Hayt , William H.",Engineering Electromagnetics,,Tata Mcgraw Hill,2006,582,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,993.3,INR,17/05/2005,2645,BK,General Section,NFIC,APS,
LG032587,Collin Robert E.,Foundation For Microwave Engineering,,Mcgraw Hill,1992,924,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,993.3,INR,17/05/2005,2645,BK,General Section,NFIC,APS,
LG032588,Collin Robert E.,Foundation For Microwave Engineering,,Mcgraw Hill,1992,924,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,250,INR,17/05/2005,2645,BK,General Section,NFIC,APS,
LG032589,Ratner Mark,Nanotechnology,,Pearson Edu,2005,188,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,210,INR,18/05/2005,2035,BK,General Section,NFIC,Shilpa Books & Stationary,
LG032590,"Azaroff, Leonid",Introduction to Solids,,Tata Mcgraw Hill,2004,460,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,265,INR,18/05/2005,2035,BK,General Section,NFIC,Shilpa Books & Stationary,
LG032591,"Verma , A.R.",Crystalography Applied Science to Solid State Phen,,New age Publication,2005,464,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,245,INR,18/05/2005,2035,BK,General Section,NFIC,Shilpa Books & Stationary,
LG032592,"Kakani , S.L.",Material Science,,New age Publication,2005,640,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,275,INR,18/05/2005,2035,BK,General Section,NFIC,Shilpa Books & Stationary,
LG032593,"Padmanabham , P.",C & Data Structures,,BSP,2003,506,004,eng,LGGRANT,LGGRANT,Computer Science,175,INR,18/05/2005,2035,BK,General Section,NFIC,Shilpa Books & Stationary,
LG032594,"Chaddha , G.S.",Quantum Mechanics,,New age Publication,2005,561,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,250,INR,18/05/2005,2035,BK,General Section,NFIC,Shilpa Books & Stationary,
LG032595,"Chattopadhyay , D.",Elements of Physics -I,Vol-I,New age Publication,2004,652,600,eng,LGGRANT,LGGRANT,Applied Science,210,INR,18/05/2005,2035,BK,General Section,NFIC,Shilpa Books & Stationary,
LG032596,"Chattopadhyay , D.",Elements of Physics -II,Vol-II,New age Publication,2004,648,600,eng,LGGRANT,LGGRANT,Applied Science,205,INR,18/05/2005,2035,BK,General Section,NFIC,Shilpa Books & Stationary,
LG032597,Virendra Kumar,Digital Electronics,,New age Publication,2002,304,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,165,INR,18/05/2005,2035,BK,General Section,NFIC,Shilpa Books & Stationary,
LG032598,"Nambbhir , K.R.",Laser,,New age Publication,2005,772,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,325,INR,18/05/2005,2035,BK,General Section,NFIC,Shilpa Books & Stationary,
LG032599,"Roy , S.K.",Thermal Physics and Statistical Mechanics,,New age Publication,2001,418,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,200,INR,18/05/2005,2035,BK,General Section,NFIC,Shilpa Books & Stationary,
LG032600,"Chattopadhyay , D.",Foundation of Electronics,,New age Publication,2004,456,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  EngineeringEngg,175,INR,18/05/2005,2035,BK,General Section,NFIC,Shilpa Books & Stationary,
LG032601,"Negus , Christopher",Red Hat (rel ) Fedora Linux 3 Bible,,Wiley,2005,1096,004,eng,LGGRANT,LGGRANT,Computer Science,549,INR,18/05/2005,2035,BK,General Section,NFIC,Shilpa Books & Stationary,
LG032602,Oxford,Advanced Learners Dictionary Oxford,,Oxford,2004,1539,001.3,eng,LGGRANT,LGGRANT,Humanities,410,INR,18/05/2005,2035,BK,General Section,NFIC,Shilpa Books & Stationary,
LG032603,"Sumitabha , Das",UNIX,,Tata Mcgraw Hill,2004,673,004,eng,LGGRANT,LGGRANT,Computer Science,260,INR,18/05/2005,2035,BK,General Section,NFIC,Shilpa Books & Stationary,
LG032604,"Ambrose , James",Design for Earthquakes,,Wiley,1999,363,624,eng,LGGRANT,LGGRANT,Civil Engineering,4620,INR,25/05/2005,2670,BK,General Section,NFIC,APS,
LG032605,"Tomazevic , Miha",Earthquake - Resistant Design of Masonary Buildings,,ICP,2004,268,624,eng,LGGRANT,LGGRANT,Civil Engineering,2587.2,INR,25/05/2005,2670,BK,General Section,NFIC,APS,
LG032606,Desai/ Abel,Introduction to the Finite Element method,,CBS,1992,477,624,eng,LGGRANT,LGGRANT,Civil Engineering,140,INR,25/05/2005,2670,BK,General Section,NFIC,APS,
LG032607,"Paulay , T.",Seismic Design of reinforced Concrete and Masonry Building,,Wiley,2005,944,624,eng,LGGRANT,LGGRANT,Civil Engineering,9702,INR,25/05/2005,2670,BK,General Section,NFIC,APS,
LG032633,"Key , David",Earthquake Design Practice for Biuldings,,Thomas,1988,218,624,eng,LGGRANT,LGGRANT,Civil Engineering,0,INR,-,-,BK,General Section,NFIC,Earthquake Engineering Eduaction Govt of India,
LG032638,"Meyer , Christian",Modelling and Analysis of reinforced concrete Structure for Dyanmics,,Springer,1998,250,624,eng,LGGRANT,LGGRANT,Civil Engineering,3331.6,INR,08/06/2005,2712,BK,General Section,NFIC,APS,
LG032639,"Mele , M.",Advanced Problems in Bridge Construction,,Springer,1991,296,624,eng,LGGRANT,LGGRANT,Civil Engineering,3393,INR,08/06/2005,2712,BK,General Section,NFIC,APS,
LG032640,"Petrini , V./ Sare M.",Protection of the architectural Heritage Against Earthquake,,Springer,-,325,720,eng,LGGRANT,LGGRANT,Architecture,3451,INR,22/06/2005,2725,BK,General Section,NFIC,APS,
LG032641,"Chitkara, K.K.",Construction Project Management,,Tata Mcgraw Hill,2004,558,620.1,eng,LGGRANT,LGGRANT,Mechanical Engineering,450,INR,20/09/2005,2939,BK,General Section,NFIC,APS,
LG032643,"Nilson , Arthur H.",Design of Construction Structures,,Tata Mcgraw Hill,2004,779,624,eng,LGGRANT,LGGRANT,Civil Engineering,525,INR,20/09/2005,2939,BK,General Section,NFIC,APS,
LG032645,"Vardan , T.K.",Analysis of Plates,,Narosa Delhi,1999,190,624,eng,LGGRANT,LGGRANT,Civil Engineering,0,INR,20/09/2005,2939,BK,General Section,NFIC,APS,
LG032646,"Paz, Mario",Structural Dynamics,,CBS,2004,559,624,eng,LGGRANT,LGGRANT,Civil Engineering,0,INR,20/09/2005,2939,BK,General Section,NFIC,APS,
LG032647,Deodhar,Building Science and Planning,,Khanna Publication Brothers,2005,324,624,eng,LGGRANT,LGGRANT,Civil Engineering,0,INR,20/09/2005,2939,BK,General Section,NFIC,APS,
LG032648,"Jain ,A.K.",Reinforced Concrete Limit State Design,,S.Chand,2005,874,624,eng,LGGRANT,LGGRANT,Civil Engineering,0,INR,20/09/2005,2939,BK,General Section,NFIC,APS,
LG032649,"Khisty , C.Jotin",Transportation Engineering,,Prentice Hall of India,2002,813,624,eng,LGGRANT,LGGRANT,Civil Engineering,350,INR,20/09/2005,2939,BK,General Section,NFIC,APS,
LG032650,"Chakraborty , P.",Principles of Transportation Engineering,,Prentice Hall of India,2003,520,624,eng,LGGRANT,LGGRANT,Civil Engineering,245,INR,20/09/2005,2939,BK,General Section,NFIC,APS,
LG032651,"Mehrotra, V.K.",Roller Compacted Concrete Dams,,Standard Pub,2004,554,624,eng,LGGRANT,LGGRANT,Civil Engineering,450,INR,20/09/2005,2939,BK,General Section,NFIC,APS,
LG032652,"Dayaratnam , P.",Limit State Design of Reinforced Concrete Structures,,Oxford,2004,530,624,eng,LGGRANT,LGGRANT,Civil Engineering,280,INR,20/09/2005,2939,BK,General Section,NFIC,APS,
LG032653,"Coduto , D.P.",Geotechnical  Engineering,,Prentice Hall of India,2002,750,624,eng,LGGRANT,LGGRANT,Civil Engineering,325,INR,20/09/2005,2939,BK,General Section,NFIC,APS,
LG032654,"Punmia, B.C.",Comprehensive R.C.C.Design,,Laxmi,2004,1168,624,eng,LGGRANT,LGGRANT,Civil Engineering,375,INR,20/09/2005,2939,BK,General Section,NFIC,APS,
LG032655,Ramamurtham,Design of Reinforced Concrete Structures,,Dhanpat Rai,2005,1508,624,eng,LGGRANT,LGGRANT,Civil Engineering,335,INR,20/09/2005,2939,BK,General Section,NFIC,APS,
LG032656,"Arora , S.P.",Building Construction,,Dhanpat Rai,2005,114,624,eng,LGGRANT,LGGRANT,Civil Engineering,175,INR,20/09/2005,2939,BK,General Section,NFIC,APS,
LG032657,"Singh, Gurucharan",Estimating Costing and Valuation,,Standard Pub,2004,700,624,eng,LGGRANT,LGGRANT,Civil Engineering,150,INR,30/09/2005,2983,BK,General Section,NFIC,APS,
LG032658,"Gahlot , P.S.",Construction Planning and Management,,New age Publication,2005,163,624,eng,LGGRANT,LGGRANT,Civil Engineering,125,INR,30/09/2005,2983,BK,General Section,NFIC,APS,
LG032659,"Guha, P.K.",Maintenance and repairs of Buildings,,Standard Pub,1998,282,624,eng,LGGRANT,LGGRANT,Civil Engineering,225,INR,30/09/2005,2983,BK,General Section,NFIC,APS,
LG032660,"Mandal , J.N.",A Guide to Geotextiles testing,,New age Publication,2002,65,624,eng,LGGRANT,LGGRANT,Civil Engineering,135,INR,30/09/2005,2983,BK,General Section,NFIC,APS,
LG032661,"Gupta , S.C.",Raft Foundations,,New age Publication,2001,134,624,eng,LGGRANT,LGGRANT,Civil Engineering,500,INR,30/09/2005,2983,BK,General Section,NFIC,APS,
LG032662,"Elangavan , R.",Unit operations in environment Engineering,,New age Publication,2001,178,624,eng,LGGRANT,LGGRANT,Civil Engineering,175,INR,30/09/2005,2983,BK,General Section,NFIC,APS,
LG032663,"Gahlot , P.S.",Construction Planning and Management,,New age Publication,2005,163,624,eng,LGGRANT,LGGRANT,Civil Engineering,125,INR,30/09/2005,2983,BK,General Section,NFIC,APS,
LG032664,Sarawar Alam Raz,Structural Design in Steel,,New age Publication,2002,610,624,eng,LGGRANT,LGGRANT,Civil Engineering,235,INR,30/09/2005,2983,BK,General Section,NFIC,APS,
LG032665,Gohil,Land treatment of Waste water,,New age Publication,2005,134,624,eng,LGGRANT,LGGRANT,Civil Engineering,275,INR,30/09/2005,2983,BK,General Section,NFIC,APS,
LG032666,C Venkatramaiah,Geotechnical Engineering,,New age Publication,2003,1063,624,eng,LGGRANT,LGGRANT,Civil Engineering,295,INR,30/09/2005,2983,BK,General Section,NFIC,APS,
LG032667,"Mandal , J.N.",Guide to Geotechnical Testing,,New age Publication,2002,165,624,eng,LGGRANT,LGGRANT,Civil Engineering,135,INR,30/09/2005,2983,BK,General Section,NFIC,APS,
LG032668,"Chakraborty , P.",Estimating Costing Specification and Valuation in Civil Engineering,,Published by the author standard,2004,856,624,eng,LGGRANT,LGGRANT,Civil Engineering,270,INR,20/09/2005,2940,BK,General Section,NFIC,APS,
LG032669,Arora .,Soil Mechanics and Foundation Engineering,,Published by the author standard,2005,886,624,eng,LGGRANT,LGGRANT,Civil Engineering,275,INR,20/09/2005,2940,BK,General Section,NFIC,APS,
LG032670,"Gupta, B.L.",Concrete Technology,,Standard Pub,2004,652,624,eng,LGGRANT,LGGRANT,Civil Engineering,175,INR,20/09/2005,2940,BK,General Section,NFIC,APS,
LG032671,"Gupta, B.L.",Construction Management Machinery & Accounts,,Standard Pub,2005,552,624,eng,LGGRANT,LGGRANT,Civil Engineering,175,INR,20/09/2005,2940,BK,General Section,NFIC,APS,
LG032672,"Charan, H.D.",Soil Testing,,Standard Pub,1991,75,624,eng,LGGRANT,LGGRANT,Civil Engineering,30,INR,20/09/2005,2940,BK,General Section,NFIC,APS,
LG032673,"Kukreja , C.B.",Material Testing : Laboratry Manual,,Standard Pub,2005,236,624,eng,LGGRANT,LGGRANT,Civil Engineering,85,INR,20/09/2005,2940,BK,General Section,NFIC,APS,
LG032674,"Kukreja , C.B.",Indetermine Structural Analysis,,Standard Pub,2005,514,624,eng,LGGRANT,LGGRANT,Civil Engineering,175,INR,20/09/2005,2940,BK,General Section,NFIC,APS,
LG032675,"Varyani , U.H.",Structural Design of Multi Storeyed Building,,South asian publishers,2002,383,624,eng,LGGRANT,LGGRANT,Civil Engineering,295,INR,20/09/2005,2940,BK,General Section,NFIC,APS,
LG032676,"Punmia, B.C.",Reinforced Concrete Structures-I,Vol-I,Laxmi,2004,1138,624,eng,LGGRANT,LGGRANT,Civil Engineering,250,INR,20/09/2005,2940,BK,General Section,NFIC,APS,
LG032677,"Punmia, B.C.",Reinforced Concrete Structures-II,Vol-II,Laxmi,2003,1144,624,eng,LGGRANT,LGGRANT,Civil Engineering,230,INR,20/09/2005,2940,BK,General Section,NFIC,APS,
LG032678,Krishna Raju N.,Reinforced Concrete Design,,New age Publication,2003,611,624,eng,LGGRANT,LGGRANT,Civil Engineering,250,INR,20/09/2005,2940,BK,General Section,NFIC,APS,
LG032679,Seetharaman,Construction Engineering and Management,,Umesh,2005,578,624,eng,LGGRANT,LGGRANT,Civil Engineering,160,INR,20/09/2005,2940,BK,General Section,NFIC,APS,
LG032680,"Garg , S.K.",Soil Mechanics and Foundation Engineering,,Khanna Publication Brothers,2004,1143,624,eng,LGGRANT,LGGRANT,Civil Engineering,265,INR,20/09/2005,2940,BK,General Section,NFIC,APS,
LG032681,"Chandra , Satish",LightWeight Aggregate Concrete,,Standard Pub,2004,430,624,eng,LGGRANT,LGGRANT,Civil Engineering,450,INR,20/09/2005,2940,BK,General Section,NFIC,APS,
LG032682,"Alexander, Christopher",A Pattern Language : Town Building,,Oxford,1977,1170,720,eng,LGGRANT,LGGRANT,Architecture,2307,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032683,"Moffett, Marian",World History of Architecture,,Laurence King Publishing,2003,592,720,eng,LGGRANT,LGGRANT,Architecture,2307.2,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032684,"Unwin , Simon",Analysising Architecture,,Routledge,2002,208,720,eng,LGGRANT,LGGRANT,Architecture,1976.78,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032685,Sangeet Sharma,Architectural Aesthetics,,Abhishek publication,2005,117,720,eng,LGGRANT,LGGRANT,Architecture,695,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032686,"Davitt, Kaith",Beyond the Lawn,,Quarry books,2003,136,720,eng,LGGRANT,LGGRANT,Architecture,923.54,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032687,"Hutchings,J.F.",Builders Guide to Modular Construction,,Mcgraw Hill,1996,325,720,eng,LGGRANT,LGGRANT,Architecture,2076.69,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032688,"Archiworld Company, Limited",Charles Correa : PA Architect 22,,"Archiworld Company, Limited",2001,239,720,eng,LGGRANT,LGGRANT,Architecture,1755.6,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032689,Arvind Krishan,Climate Responsive Architecture,,Tata Mcgraw Hill,2004,409,720,eng,LGGRANT,LGGRANT,Architecture,675,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032690,"Reynolds , John S.",Courtards,,John Wiley,2002,243,720,eng,LGGRANT,LGGRANT,Architecture,3696,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032691,"Hugues , Theoder",Building with Large Clay Blocks,,Birkhauser,2004,118,720,eng,LGGRANT,LGGRANT,Architecture,1824.78,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032692,Christian Schittich,In Detail Building Skins,,Birkhauser,2001,196,720,eng,LGGRANT,LGGRANT,Architecture,3976.53,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032693,"Hosagraha , Jyoti",Indigenoeus Modernities,,Routledge,2005,234,720,eng,LGGRANT,LGGRANT,Architecture,595,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032694,"Dines , Nicholas",Landscape Archtects portable Handbook,,Mcgraw Hill,2001,443,720,eng,LGGRANT,LGGRANT,Architecture,875.49,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032695,"Tzonis, Alexander",Le Carbsier the Poetics of Machine and Metaphor,,Thames,2001,238,720,eng,LGGRANT,LGGRANT,Architecture,1314.28,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032696,"Ernst Neufert, Peter Neufert",Neufart Architects Data,,Blackwell,2004,626,720,eng,LGGRANT,LGGRANT,Architecture,2100,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032697,Prentice Hall of Indialip/ Haxell,Simple Hand made Storage,,Laurel,2004,128,720,eng,LGGRANT,LGGRANT,Architecture,921.69,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032698,"Behling , Stefan",Solar Power,,Prestel,2002,240,720,eng,LGGRANT,LGGRANT,Architecture,1891.08,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032699,"Celik , Zeynep",Streets,,University of California Press,1994,293,720,eng,LGGRANT,LGGRANT,Architecture,1152.69,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032700,"Thakur, L.S.",The Architectural Heritage of Himachal Pradesh,,Munshiram Manoharlal Publishers,1996,135,720,eng,LGGRANT,LGGRANT,Architecture,750,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032701,Ishwar Chand,The Climate Data,,Tata Mcgraw Hill,1999,214,720,eng,LGGRANT,LGGRANT,Architecture,650,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032702,"Cooper , Paul",The New Tech Garden,,Mitchell,2002,192,720,eng,LGGRANT,LGGRANT,Architecture,2060,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032703,Farooq Ameen,The South Asian Paradigm,,Marg publication,1997,1101,720,eng,LGGRANT,LGGRANT,Architecture,1750,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032704,Dixon,Urban Space No.3,,The Design Prentice Hall of India,2004,328,720,eng,LGGRANT,LGGRANT,Architecture,2541,INR,07/10/2005,7731,BK,General Section,NFIC,Standard Book Agency,
LG032705,"Varghese, P.C.",Advanced Reinforced Concrete Design,,Prentice Hall of India,2005,534,720,eng,LGGRANT,LGGRANT,Architecture,395,INR,21/10/2005,3033,BK,General Section,NFIC,APS,
LG032706,"Varghese, P.C.",Foundation Engineering,,Prentice Hall of India,2005,570,720,eng,LGGRANT,LGGRANT,Architecture,425,INR,21/10/2005,3033,BK,General Section,NFIC,APS,
LG032709,"Qasim , S.R.",Water Works Engineering,,Prentice Hall of India,2002,844,720,eng,LGGRANT,LGGRANT,Architecture,325,INR,21/10/2005,3033,BK,General Section,NFIC,APS,
LG032710,"Piper , James E.",Operations and Maintenance Manual for Energy Management,,Standard Pub,2005,344,720,eng,LGGRANT,LGGRANT,Architecture,350,INR,21/10/2005,3033,BK,General Section,NFIC,APS,
LG032711,"Gulhati, S.K.",Geotechnical Engineering,,Tata Mcgraw Hill,2005,738,720,eng,LGGRANT,LGGRANT,Architecture,295,INR,21/10/2005,3033,BK,General Section,NFIC,APS,
LG032712,"Negus , Christopher",Red Hat (rel 12 ) Fedora Linux 3 Bible,,Wiley,2005,1095,004,eng,LGGRANT,LGGRANT,Computer Science,549,INR,21/10/2005,3033,BK,General Section,NFIC,APS,
LG032713,"Beer , F.P.",Machanics of Materials,,Tata Mcgraw Hill,2005,780,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,325,INR,21/10/2005,3033,BK,General Section,NFIC,APS,
LG032714,"Ravindra , B.",Power System Protection amd Switchgear,,New age Publication,2005,444,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,390,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
LG032715,"Ravindra , B.",Power System Protection amd Switchgear,,New age Publication,2005,444,621.3,eng,LGGRANT,LGGRANT,Electrical  Engineering,390,INR,15/12/5005,9039,BK,General Section,NFIC,PBC,
